Name ; Company ; Position ; Twitter
Kevin Systrom ; Instagram ; CEO ;  @quixotic
Reid Hoffman ; LinkedIn ; co-founder ; @quixotic
Mike Schroepfer ; Facebook ; VPE ; @schrep
Mike Olson ; Cloudera ; CEO ; @mikeolson
